judul,isi,tanggal,kategori
"Profil 5 Pimpinan KPK Periode 2024-2029, Didominasi Wajah Lama","JAKARTA, KOMPAS.com - Komisi III Dewan Perwakilan Rakyat (DPR) RI telah memilih 5 pimpinan Komisi Pemberantasan Korupsi (KPK) periode 2024–2029. Pemilihan dilakukan melalui mekanisme voting melalui Rapat Pleno Komisi III DPR RI yang berlangsung di Kompleks Parlemen, Senayan, Jakarta, Kamis (21/11/2024). Dari hasil penghitungan tersebut, Komisi III DPR RI kemudian memilih 5 capim KPK dengan perolehan suara terbanyak untuk ditetapkan sebagai pimpinan terpilih. Berikut daftarnya: Setyo Budiyanto yang merupakan polisi aktif bintang tiga atau Komisaris Jenderal terpilih sebagai Ketua Komisi Pemberantasan Korupsi (KPK) untuk periode 2024-2029. Baca juga: Profil Setyo Budiyanto yang Terpilih Menjadi Ketua KPK 2024-2029  Setyo mendapat suara terbanyak dalam pemilihan capim KPK di Komisi III DPR dengan 45 suara yang memilih dirinya untuk menjadi ketua KPK. Johanis dan Fitroh meraih 48 suara. Disusul Setyo 46 suara, Agus Joko 39 suara, dan Ibnu Basuki 33 suara sebagai komisioner KPK. Berikut ini profil singkat kelima pimpinan KPK periode 2024-2029: 1. Setyo Budiyanto (Ketua KPK)Lahir di Surabaya, 29 Juni 1967, lulusan Akpol 1989. Sebelumnya menjabat sebagai Direktur Penyidikan KPK (2020) dan Inspektur Jenderal Kementerian Pertanian (2024). Perwira tinggi Polri dengan pangkat Komjen Pol ini memiliki pengalaman panjang dalam pemberantasan korupsi. Baca juga: 5 Pimpinan KPK 2024-2029 Terpilih, Berikut Nama-namanya 2. Fitroh RohcahyantoLahir di Jepara, lulusan S3 Fakultas Hukum Universitas Airlangga. Pernah menjabat Direktur Penuntutan KPK (2019). Jaksa senior ini berpengalaman menangani berbagai kasus besar, seperti e-KTP, Hambalang, dan korupsi proyek lainnya. 3. Ibnu Basuki WidodoHakim Pengadilan Tinggi Manado yang sebelumnya bertugas di Pengadilan Tipikor Jakarta. Berpengalaman mengadili banyak kasus korupsi selama bertugas di Pengadilan Tipikor. Baca juga: Komisi III DPR Tetapkan Komjen Setyo Budiyanto Jadi Ketua KPK 2024-2029 4. Johanis TanakLahir di Toraja Utara, 23 Maret 1961. Jaksa senior dengan pengalaman luas, pernah menjabat sebagai Kepala Kejaksaan Tinggi Jambi dan Direktur di Kejaksaan Agung. Lulusan Fakultas Hukum Universitas Hasanuddin, S2 di IBLAM, dan S3 Universitas Airlangga. Dia sempat menjabat sebagai Wakil Ketua KPK. 5. Agus Joko PramonoLahir di Palembang, 1 Agustus 1972. Lulusan STAN, UGM, dan Unpad. Mantan Wakil Ketua BPK dan Komisaris PT Pertamina Hulu Energi. Juga aktif di organisasi internasional seperti United Nations Independent Audit Advisory Committee. Dikenal sebagai ahli akuntansi sektor publik. ","Kompas.com - 21/11/2024, 13:51 WIB",Nasional
"Profil dan Harta Benny Mamoto, Dewas KPK Periode 2024-2029","JAKARTA, KOMPAS.com - Komisi III DPR RI akhirnya memilih lima anggota Dewan Pengawas (Dewas) Komisi Pemberantasan Korupsi (KPK) periode 2024-2029. Salah satunya adalah Benny Mamoto. Nama Benny Mamoto terpilih dari hasil voting atau pemungutan suara usai terlebih dahulu merampungkan uji kelayanan dan kepatutan (fit and proper test) di ruang Komisi III DPR, Kompleks Parlemen, Senayan, Jakarta, Kamis (21/11/2024). Dari hasil voting, ada lima anggota Dewas dengan suara terbanyak yakni Wisnu Baroto, Benny Jozua Mamoto, Gusrizal. Sumpeno, dan Chisca Mirawati. Benny Mamoto mendapatkan 46 suara dalam proses pemungutan suara tersebut. ""Berdasarkan suara yang diperoleh berdasarkan mekanisme pengambilan suara terbanyak atau voting maka Komisi III DPR RI memilih untuk merekomendasikan lima calon Dewan Pengawas KPK masa jabatan tahun 2024-2029,"" kata Habiburokhman dalam rapat pleno di Ruang Rapat Komisi III DPR, Kompleks Parlemen, Jakarta, Kamis siang. Baca juga: Komisi III DPR Tetapkan 5 Anggota Dewas KPK, Ini Nama-namanya Pemilik nama lengkap Benny Jozua Mamoto ini menempuh pendidikan di Akademi Kepolisian (Akpol) dan lulus pada tahun 1977. Kemudian, Benny Mamoto pernah berkuliah di Fakultas Hukum Universitas Krisnadwipayana dan meraih gelar S1 pada 1992. Sementara itu, gelar S2 dan S3 Benny didapat dari studi Kajian Ilmu Kepolisian Universitas Indonesia (UI). Pria kelahiran Temanggung, Jawa Tengah, 7 Juni 1955 ini lantas berkarier di Kepolisian. Dia berhasil mencapai jenjang kepangkatan Inspektur Jenderal (Irjen) atau jenderal bintang dua di institusi Bhayangkara. Terakhir, Benny Mamoto dipercaya menjabat sebagai Ketua Harian Komisi Kepolisian Nasional (Kompolnas) periode 2020-2024. Baca juga: Calon Anggota Dewas Benny Mamoto Ingin OTT KPK Diatur di Undang-Undang Benny Mamoto dilantik Presiden Joko Widodo (Jokowi) sebagai satu dari sembilan anggota Kompolnas masa jabatan 2020-2024 pada 19 Agustus 2020. Kemudian, ditunjuk sebagai ketua harian pada hari yang sama. Dia resmi melepaskan jabatannya sebagai Ketua Harian Kompolnas dan menyerahkannya kepada Menteri Koordinator (Menko) Bidang Politik dan Keamanan, Budi Gunawan pada 4 November 2024. Sebelum menjabat Ketua Harian Kompolnas, Benny pernah menjadi penyidik Densus 88 Antiteror Polri juga Kepala Unit I/Keamanan Negara-Separatis. Dikutip dari laman resmi Kompolnas, Benny menjabat sebagai Dit I/Kamtrannas Bareskrim Polri pada 2001. Lima tahun setelahnya, dia menjadi Wakil Direktur II/Ekonomi Khusus Bareskrim. Selama 2007-2009, Benny Mamoto dipercaya menjadi Wakil Sekretaris NCB-Interpol Indonesia. Baca juga: Anggota DPR Singgung Pernyataan Kontroversial Calon Dewas KPK Benny Mamoto soal Kasus Sambo ","Kompas.com - 21/11/2024, 13:50 WIB",Nasional
Bareskrim Polri Tangkap 1 Buron Kasus Judol Situs W88 di Filipina,"JAKARTA, KOMPAS.com - Direktorat Tindak Pidana Siber (Dittipidsiber) Bareskrim Polri menangkap satu orang buron dalam Daftar Pencarian Orang (DPO) kasus judi online (judol) pada situs W88. Dirtipidsiber Bareskrim Polri Brigjen Himawan Bayu Aji mengatakan, pelaku akan didatangkan dari Filipina malam ini, Kamis (21/11/2024). ""Iya, satu orang DPO,"" kata Himawan saat dikonfirmasi oleh wartawan. Ketika ditanya lebih lanjut, Himawan enggan merinci identitasnya. Himawan juga tidak menjelaskan mengenai status kewarganegaraan DPO yang ditangkap tersebut. Baca juga: Terungkapnya 23 Tersangka dan Puzzle Terakhir, Ending Skandal Judol Komdigi? Himawan juga tidak menjelaskan secara rinci peran dari DPO yang ditangkap di Filipina itu. Tapi, dia membenarkan bahwa buron tersebut ditangkap terkait situs judol W88. ""Ya terkait situs W88,"" tambahnya. Berdasarkan informasi yang diperoleh, DPO tersebut akan tiba dari Filipina pada pukul 23.00 WIB. Pihak Kepolisian akan menjemput dan menangkap DPO itu di Terminal 3, Bandara Internasional Soekarno-Hatta. Sepanjang Mei hingga Juni 2024, Satuan Tugas (Satgas) Pemberantasan Judi Online Polri telah menangkap tiga situs judi online dengan perputaran uang triliunan rupiah. Baca juga: Satu Buron Kasus Situs Judol Komdigi Ditangkap di Yogyakarta Kabareskrim Polri Komjen Wahyu Widada mengatakan, selama periode tersebut perputaran uang dari tiga situs judol mencapai Rp 1,04 triliun. ""Estimasi perputaran uang pada ketiga website judi online tersebut mencapai Rp 1 triliun,"" kata Wahyu, Jumat (21/11/2024). Wahyu menambahkan, ada 18 tersangka yang telah ditangkap dalam pengungkapan tiga situs judi online tersebut, diantaranya 1XBET, W88, dan Liga Ciputra. Para pelaku mengendalikan judi online di luar negeri. Di sisi lain, operator yang berada di Indonesia menyediakan sarana sertq sistem pembayaran deposit dan withdraw. ","Kompas.com - 21/11/2024, 13:44 WIB",Nasional
"Berpegang pada Prinsip GCG, KAI Pastikan Layanan PSO Jangkau Seluruh Lapisan Masyarakat","KOMPAS.com - Vice President (VP) Public Relations PT Kereta Api Indonesia (Persero) atau KAI Anne Purba mengatakan bahwa KAI sebagai operator transportasi publik terus berkomitmen untuk memastikan layanan public service obligation (PSO) dapat menjangkau seluruh lapisan masyarakat dengan tetap mengedepankan standar pelayanan minimum (SPM) yang telah ditetapkan oleh pemerintah. Dalam melaksanakan penugasan PSO, kata dia, KAI berpegang pada prinsip good corporate governance (GCG). “Melalui layanan KA PSO, KAI ingin mendorong masyarakat untuk menggunakan transportasi publik, yang pada gilirannya dapat mengurangi kemacetan dan polusi,” imbuh Anne dalam siaran pers yang diterima Kompas.com, Kamis (21/11/2024). Baca juga: Persiapan Nataru, Pelita Air Tambah Armada Baru Ke depan, lanjut dia, KAI Group berencana untuk terus mengembangkan dan memperbarui armadanya, meningkatkan kualitas layanan, serta memperluas jaringan transportasi publik demi meningkatkan aksesibilitas dan kenyamanan bagi seluruh lapisan masyarakat Indonesia. Untuk diketahui, PSO merupakan alokasi anggaran subsidi yang diberikan oleh pemerintah. KAI mengimplementasikan layanan ini sebagaiwujud komitmennya dalam meningkatkan pelayanan transportasi publik. Dalam upaya tersebut, KAI berfokus pada pengoperasian kereta api dengan tarif terjangkau bagi masyarakat, baik untuk angkutan penumpang dan barang pada momen tertentu. Baca juga: Cerita Penumpang yang Kehilangan Barang di Kereta, Pelaporan Berbelit, tapi Tak Kunjung Ada Kejelasan Berdasarkan data terbaru, Anne menjelaskan bahwa KAI Group telah berhasil melayani 344.328.157 penumpang untuk kereta api PSO selama periode Januari hingga Oktober 2024. Data tersebut terdiri dari 13.873.317 penumpang untuk kereta api jarak jauh (KA JJ), kereta api lokal, dan kereta api perintis yang dikelola oleh KAI, 309.694.220 penumpang untuk KAI Commuter, 16.858.617 penumpang untuk LRT Jabodebek, serta 3.902.003 penumpang yang dilayani oleh KAI Bandara. “Tren positif terlihat pada penumpang KA JJ, di mana dari Januari hingga Oktober 2024, KA PSO Jarak Jauh berhasil melayani 9.219.617 penumpang atau meningkat 9,8 persen dibandingkan periode yang sama pada 2023, yang tercatat sebanyak 8.394.494 penumpang,” jelas Anne. Baca juga: Soal Kereta Otonom IKN, DJKA Kemenhub: Kita Tunggu Sampai Akhir Tahun Selain itu, Anne menjelaskan bahwa Direktorat Jenderal Perkeretaapian (DJKA) Kementerian Perhubungan (Kemenhub) bekerja sama dengan KAI dan KAI Logistik dalam menjalankan program Angkutan Motor Gratis (Motis) pada momen-momen tertentu. Program tersebut mencakup KA Motis Nataru (Pasar Senen–Lempuyangan PP), Motis Lebaran jalur Selatan (Madiun–Jakarta Gudang PP), Motis Lebaran jalur Tengah (Kutoarjo–Jakarta Gudang PP), dan Motis Lebaran jalur Utara (Semarang Tawang–Cilegon PP). Anne menambahkan bahwa penugasan PSO bukan hanya tentang menyediakan akses transportasi yang lebih terjangkau bagi masyarakat, tetapi juga bagian dari upaya untuk mengurangi biaya transportasi dan mendorong perubahan gaya bertransportasi menuju pilihan yang lebih efisien dan ramah lingkungan. Baca juga: Manuver PLN Hadapi Tantangan Global lewat Penyediaan Energi Ramah Lingkungan Berikut adalah daftar KA Antarkota yang mendapatkan penugasan PSO pada 2024, yaitu KA Kahuripan (Blitar–Kiaracondong PP), KA Bengawan (Purwosari–Pasar Senen PP), KA Sri Tanjung (Lempuyangan–Ketapang PP), KA Airlangga (Surabaya Pasar Turi–Pasar Senen PP), KA Pasundan (Surabaya Gubeng–Kiaracondong PP), dan KA Serayu (Purwokerto–Kroya–Pasar Senen PP). KA Antarkota lainnya, yakni KA Kutojaya Selatan (Kutoarjo–Kiaracondong PP), KA Tawang Alun (Ketapang–Bangil–Malang Kota Lama PP), KA Bukit Serelo (Kertapati–Lubuklinggau PP), KA Ekspres Rajabasa (Kertapati–Tanjungkarang PP), KA Putri Deli (Tanjungbalai–Medan PP), KA Probowangi (Ketapang–Probolinggo–Surabaya Gubeng PP), KA Kuala Stabas (Baturaja–Tanjungkarang PP), serta KA Cikuray (Garut–Pasar Senen PP). Baca juga: KAI Tanjungkarang Tutup Perlintasan Sebidang Liar di Martapura Selain itu, terdapat juga Kereta Api Perkotaan yang mendapatkan penugasan PSO pada 2024, yaitu KA Pandanwangi (Ketapang–Jember PP), KA Siantar Ekspres (Siantar–Medan PP), KA Pariaman Ekspres (Naras–Pariaman–Pauh Lima PP), KA Sri Lelawangsa (Medan–Kualanamu PP dan Medan–Binjai PP), KA Siliwangi (Cipatat–Sukabumi PP), KA Datuk Belambangan (Lalang–Tebing Tinggi PP). Kemudian, Commuter Line Walahar (Purwakarta–Cikarang PP), Commuter Line Jatiluhur (Cikarang–Cikampek PP), Commuter Line Garut (Purwakarta–Cibatu–Garut PP), Commuter Line Bandung Raya (Cicalengka–Purwakarta PP), KA Bandara (Bandara Internasional Yogyakarta, Minangkabau Ekspres, dan KA Bandara Kualanamu), Commuter Line lainnya seperti Tumapel, Supas, Merak, Jenggala, dan Prameks, serta LRT Jabodebek. ","Kompas.com - 21/11/2024, 13:44 WIB",Nasional
Ridwan Kamil Janji Buka Rincian APBD ke Publik seperti Zaman Ahok,"JAKARTA, KOMPAS.com - Calon gubernur Jakarta nomor urut 1 Ridwan Kamil menyatakan komitmennya untuk membuka rancangan anggaran pendapatan dan belanja daerah (RAPBD) Jakarta zaman Basuki Tjahaja Purnama alias Ahok dulu. “Iya, (RAPBD) kita transparansikan sebagai komitmen. Kalau zaman Pak Ahok bisa, kenapa sekarang enggak?” ujar Ridwan Kamil saat ditemui di Gandaria, Jakarta Selatan pada Kamis (21/11/2024). Ridwan mengatakan, transparansi RAPBD ini merupakan komitmen pemerintah kepada masyarakat. Baca juga: Ridwan Kamil Disambut Histeris Ibu-ibu di Gandaria, Lengan sampai Kena Cakar Dia berharap, dengan transparansi anggaran ini, semua pihak akan merasa senang. “Saya kira itu komitmen kepada masyarakat. Mudah-mudahan dengan begitu everybody happy (semuanya senang) tidak melihat ada yang tertutup,” imbuh Ridwan. Lebih lanjut, Ridwan meyakini, transparansi adalah simbol dari pemerintahan yang bersih atau clean government. Pada masa pemerintahan Ahok, RAPBD Jakarta dapat dilihat publik melalui situshttps://apbd.jakarta.go.id/. Ketika itu, Pemprov DKI Jakarta membuka rencana anggaran sampai ke satuan ketiga. Masyarakat dapat mengakses kegiatan apa saja yang akan dilakukan Pemprov DKI Jakarta berdasarkan perencanaan anggaran itu. Baca juga: Ridwan Kamil: Dibanding 5 Tahun Lalu, Pilkada Jakarta Sekarang Lebih Kondusif  Adapun pada tahun ini, Pemerintah Provinsi (Pemprov) DKI Jakarta mengajukan tujuh prioritas utama dalam Rancangan Peraturan Daerah (Raperda) Anggaran Pendapatan dan Belanja Daerah (APBD) Tahun 2025. Prioritas ini disampaikan Penjabat (Pj) Gubernur DKI Jakarta, Teguh Setyabudi, melalui Sekretaris Daerah Jakarta, Joko Agus Setyono, dalam Rapat Paripurna di Gedung DPRD Jakarta, Kebon Sirih, Kamis (6/11/2024). ""Total Rancangan Anggaran Pendapatan dan Belanja Daerah Tahun Anggaran (R-APBD) 2025 yang eksekutif ajukan sebesar Rp 91,14 triliun atau naik sebesar 6,97 persen,"" ujar Joko. APBD 2025, menurut Joko, bertujuan untuk memperkuat peran Jakarta sebagai kota bisnis global melalui peningkatan berbagai sektor, termasuk pelayanan dasar, seperti pendidikan, kesehatan, bisnis, serta penyediaan ruang publik. ","Kompas.com - 21/11/2024, 13:42 WIB",Megapolitan
"Saksi Ahli di Praperadilan Tom Lembong: Stok Gula RI Menipis Kala Itu, dan Konsumsi Tinggi Jelang Lebaran"," JAKARTA, KOMPAS.com – Tim kuasa hukum dari tersangka dugaan korupsi impor gula Thomas Trikasih Lembong atau Tom Lembong menghadirkan saksi ahli untuk memberikan kesaksian dalam sidang praperadilan yang digelar di Pengadilan Negeri (PN) Jakarta Selatan, Kamis (21/11/2024). Saksi pertama yang dihadirkan yakni Managing Director Political Economy and Policy Studies (PEPS), Anthony Budiawan. Anthony mengungkapkan fakta krusial mengenai kondisi industri gula nasional saat Tom Lembong meneken kebijakan impor gula ketika menjabat sebagai Menteri Perdagangan pada 2015.  Dia menjelaskan, saat itu stok gula nasional menipis. Kondisi itu diperparah dengan tingginya konsumsi gula menjelang Lebaran, dan permintaan yang terus meningkat.  ""Kondisi industri gula nasional di 2015 sangat memprihatinkan. Persediaan gula nasional terus menipis sampai Mei 2015, mencapai hanya sekitar 325.765 ton,"" kata Anthony dalam penjelasannya di hadapan Hakim.  ""Sedangkan konsumsi gula hingga lebaran (1 Juli 2015) diperkirakan mencapai 400.000 ton, sehingga dikhawatirkan akan terjadi kelangkaan gula,"" tambahnya.  Baca juga: Tom Lembong Bacakan Testimoni yang DitulisdariPenjara  Anthony mengatakan, kala itu harga Gula Kristal Putih atau GKP di tingkat konsumen juga naik terus sejak Maret 2015. Menurut Anthony, saat itu ada dua opsi untuk menambah pasokan GKP.  “Ada dua opsi yaitu dari jalur impor (barang jadi) GKP, atau dari jalur produksi Gula Kristal Mentah (GKM) diolah menjadi GKP (di perusahaan gula rafinasi) di dalam negeri,” jelas dia.  Dia menjelaskan, baik dari Kepmenperindag No 52 /2004 maupun Permendag No 11 /2015 tidak mewajibkan kekurangan GKP harus dipenuhi melalui impor GKP.   ""Kekurangan GKP bisa dipenuhi dari produksi GKM menjadi GKP,” ungkap Anthony.   Namun, kedua Peraturan mengatakan apabila defisit GKP dipenuhi dari impor GKP, maka perusahaan yang boleh melaksanakan impor adalah Importir Terdaftar Gula (Kepmenperindag No 52 /2004) atau BUMN (Permendag No 11 /2015). Baca juga: Terkejutnya Tom Lembong Saat Beri Kesaksian Daring Saat Sidang Praperadilan  Adapun perbedaan antara GKP dan Gula Kristal Rafinasi atau GKR, yakni GKP digunakan untuk konsumsi masyarakat, sedangkan GKR dipakai sebagai bahan baku industri makanan dan minuman.   Apabila pemenuhan pasokan (defisit) GKP dilakukan melalui jalur produksi, maka untuk menjaga agar tidak terjadi over-supply, produksi GKP di pabrik gula rafinasi dapat dilakukan melalui penugasan produksi.  ""Penugasan produksi ini dilaksanakan melalui kontrak kerjasama produksi GKP antara BUMN (perdagangan), yang ditugaskan, dengan pabrik gula rafinasi,"" jelas dia. ","Kompas.com - 21/11/2024, 13:42 WIB",Nasional
"Komisi III DPR Tetapkan 5 Anggota Dewas KPK, Ini Nama-namanya","JAKARTA, KOMPAS.com - Komisi III DPR RI akhirnya memilih lima anggota Dewan Pengawas (Dewas) Komisi Pemberantasan Korupsi (KPK) periode 2024-2029. Pemilihan dilakukan melalui mekanisme pemungutan suara setelah terlebih dahulu merampungkan uji kelayanan dan kepatutan (fit and proper test) di ruang Komisi III, Kompleks Parlemen, Senayan, Jakarta, Kamis (21/11/2024). Adapun rapat pleno ini dipimpin Ketua Komisi III DPR RI Habiburokhman. Hadir juga empat Wakil Ketua Komisi III Ahmad Sahroni, Rano Al Fath, Dede Indra Permana, dan Sari Yuliati. Rapat dihadiri 48 anggota DPR RI secara langsung di ruang rapat pleno Komisi III DPR RI. Baca juga: 5 Pimpinan KPK 2024-2029 Terpilih, Berikut Nama-namanya   ""Berdasaarkan suara yang diperoleh berdasarkan mekanisme pengambilan suara terbanyak atau voting maka Komisi III DPR RI memilih untuk merekomendasikan lima calon Dewan Pengawas KPK masa jabatan tahun 2024-2029,"" kata Habiburokhman dalam rapat pleno di Ruang Rapat Komisi III DPR, Kompleks Parlemen, Jakarta, Kamis siang. Awalnya, ada 10 nama calon anggota Dewas KPK yang mengikuti fit and proper test pada 20-21 November 2024. Hasil voting mencatat ada lima anggota Dewas dengan suara terbanyak yakni Wisnu Baroto, Benny Jozua Mamoto, Gusrizal. Sumpeno, dan Chisca Mirawati. Berikut perolehan suara calon Dewas KPK: 1. Mirwazi (14 suara) 2. Elly Fariani (1 suara) 3. Wisnu Baroto (43 suara) 4. Benny Jozua Mamoto (46 suara) 5. Gusrizal (40 suara) 6. Sumpeno (40 suara) 7. Chisca Mirawati (46 suara) 8. Hamdi Hassyarbaini (0 suara) 9. Heru Kreshna Reza (2 suara) 10. Iskandar Mz (8 suara) ","Kompas.com - 21/11/2024, 13:37 WIB",Nasional
Profil Setyo Budiyanto yang Terpilih Menjadi Ketua KPK 2024-2029,"JAKARTA, KOMPAS.com - Komisaris Jenderal Polisi Setyo Budiyanto resmi terpilih sebagai Ketua Komisi Pemberantasan Korupsi (KPK) untuk periode 2024-2029, melalui Rapat Pleno Komisi III DPR RI yang berlangsung di Kompleks Parlemen, Senayan, Jakarta, Kamis (21/11/2024). Dalam pemilihan tersebut, Setyo memperoleh suara terbanyak dengan dukungan 45 suara, mengukuhkannya sebagai pemimpin lembaga antirasuah selama lima tahun ke depan. Setyo akan memimpin KPK bersama empat komisioner lainnya, yakni Johanis Tanak, Fitroh Rohcahyanto, Ibnu Basuki Widodo, dan Agus Joko Pramono. Baca juga: Komisi III DPR Tetapkan Komjen Setyo Budiyanto Jadi Ketua KPK 2024-2029  Lahir di Surabaya pada 29 Juni 1967, Setyo Budiyanto adalah lulusan Akademi Kepolisian (Akpol) angkatan 1989. Ia satu angkatan dengan sejumlah tokoh penting, seperti Wakapolri Komjen Ahmad Dofiri dan Menteri Imigrasi dan Pemasyarakatan Jenderal Agus Andrianto. Setyo memiliki pengalaman panjang di bidang pemberantasan korupsi. Ia pernah menjabat sebagai Koordinator Supervisi Kedeputian Penindakan KPK pada 2019. Setahun kemudian, ia dipercaya menjadi Direktur Penyidikan KPK, posisi strategis yang memperkuat kompetensinya dalam menangani berbagai kasus korupsi besar di Indonesia. Baca juga: Komisi III DPR Tetapkan Komjen Setyo Budiyanto Jadi Ketua KPK 2024-2029 Pada awal 2024, Setyo ditugaskan oleh Menteri Pertanian Andi Amran Sulaiman untuk menjabat sebagai Inspektur Jenderal Kementerian Pertanian RI, posisi yang ia emban sejak 22 Maret 2024. Sebelumnya, ia juga menjabat sebagai Kepala Kepolisian Daerah Sulawesi Utara. Sebagai seorang perwira tinggi dengan pangkat Komisaris Jenderal Polisi, Setyo dikenal berpengalaman dalam bidang reserse dan penegakan hukum. Dedikasinya selama bertugas di KPK menjadi bekal penting untuk menjalankan amanat sebagai Ketua KPK, melanjutkan upaya pemberantasan korupsi di Indonesia. ","Kompas.com - 21/11/2024, 13:26 WIB",Nasional
Pria di Kelapa Gading Tewas Terkena Ledakan Saat Mengisi APAR,"JAKARTA, KOMPAS.com - Seorang warga berinisial AS tewas usai terkena ledakan akibat kebocoran alat pemadam api ringan (APAR) di sebuah rumah di Jalan Kelapa Puyuh VI, Kelapa Gading Timur, Kelapa Gading, Jakarta Utara, Rabu (20/11/2024). Kabid Humas Polda Metro Jaya Kombes Pol Ade Ary Syam Indradi menjelaskan, AS mempunyai usaha pengisian APAR di rumahnya. Peristiwa bermula saat AS dan rekannya K hendak mengisi tabung APAR untuk dikirim ke seorang konsumen. ""Saksi K melihat halon (cairan bahan pemadam) terlihat kurang atau angin turun. Kemudian korban menyuruh K untuk menambah angin,"" kata Kabid Humas Polda Metro Jaya Kombes Pol Ade Ary Syam Indradi dalam keterangannya, Kamis (21/11/2024). Baca juga: Tinjau Program Makan Bergizi Gratis di Tangerang, Gibran ke Siswa: Tambah Lagi Enggak? “Tapi saksi K berkata, ‘Jarum kenapa tidak naik, Pak?’,” lanjut Ade Ary. Oleh karena itu, AS meminta K untuk mematikan keran yang digunakan untuk pengisian. Namun, tiba-tiba terjadi ledakan. Karena tidak bisa melihat akibat semburan cairan tabung APAR, K pun langsung ke kamar mandi untuk mencuci mukanya. “Setelah selesai dari kamar mandi, saksi K melihat korban sudah dalam keadaan bersimbah darah dan tergeletak di TKP yang terletak di dapur rumah milik korban,” kata Ade Ary. Baca juga: Dua Gotri Ditemukan di Gedung Perkantoran Pagedangan, Diduga Peluru Nyasar  Terlepas dari hal tersebut, korban memang sehari-hari terbiasa mengisi tabung APAR di dapur rumahnya itu. Atas kejadian ini, korban langsung dilarikan ke Rumah Sakit Mitra Keluarga Kelapa Gading. “Pihak rumah sakit mengecek korban dan korban dinyatakan sudah dalam keadaan meninggal dunia,” pungkas dia. ","Kompas.com - 21/11/2024, 13:23 WIB",Megapolitan
Pilkada 2024: Membangun Kota Batam yang Berkeadilan,"BATAM, Bila Anda Tiba Anda Menang. Begitulah singkatan dan ungkapan yang menjelaskan tentang daya tarik Pulau Kota Batam, Kepulauan Riau. Sebagai salah satu daerah migrasi tertinggi di Indonesia dan posisinya yang strategis di Selat Malaka, Batam sejatinya dirancang sebagai kota industri untuk bersaing dengan negara kota Singapura. Selat Malaka, salah satu jalur perdagangan tersibuk di dunia, merupakan aset besar yang menjadikan Batam potensial sebagai pintu gerbang barat Indonesia. Kota ini bukan hanya didukung oleh lokasi, tetapi juga oleh statusnya sebagai salah satu kawasan dengan jumlah Kawasan Ekonomi Khusus (KEK) terbanyak di Indonesia. Banyaknya KEK di Batam dirancang untuk menarik investasi, mempercepat pertumbuhan ekonomi, dan memperkuat sektor manufaktur serta perdagangan. Dalam teori pembangunan ekonomi, Batam memiliki banyak keunggulan sebagai hub internasional. Selain kedekatannya dengan Singapura, Johor - Malaysia, kota ini mendapat prioritas dalam investasi infrastruktur dan fasilitas pendukung ekspor-impor. Dengan pelabuhan besar dan Bandara Internasional Hang Nadim yang masih terus dikembangkan, Batam diharapkan menjadi simpul logistik regional. Sehingga Batam selalu dapat dijadikan harapan tulang punggung (backbone) pembangunan karena sejumlah keistimewaan yang diberikan kepadanya. Namun, cita-cita besar ini menghadapi tantangan serius. Dibandingkan dengan Singapura dan Johor yang memiliki kapasitas, kepastian dan efisiensi tinggi, Batam masih menghadapi persoalan mendasar seperti pengelolaan tata ruang, lingkungan, tata kelola pemerintahan, dan ketimpangan sosial. Pengelolaan KEK juga belum mencapai efektivitas optimal dalam mendorong inovasi dan produktivitas warganya. Batam memiliki potensi besar untuk menjadi hub global, tetapi membutuhkan visi yang lebih kritis dan keberanian mereformasi tata kelolanya (good governance). Tanpa itu, kota ini hanya akan menjadi pelengkap dari Singapura, bukan pesaingnya. Sadar atau tidak, Batam hanya menjadi tempat tetesan investasi dari negeri tetangga. Pilkada 2024 menjadi momen penting untuk memastikan bahwa pemimpin baru memiliki keberpihakan kepada masyarakat lokal dan kemampuan mewujudkan Batam sebagai pintu gerbang barat Indonesia yang sejati. Sebagai kota industri yang berkembang pesat, Batam menghadapi berbagai tantangan serius yang membutuhkan pemimpin dengan visi kuat, keberpihakan kepada masyarakat, dan kemampuan tata kelola yang baik. Pilkada 2024 menjadi momen penting untuk memilih pasangan calon (paslon) yang memiliki solusi nyata atas isu-isu berikut: Pertama, Tingkat Pengangguran Terbuka (TPT) Batam saat ini mencapai 7,68 persen, tertinggi di Kepulauan Riau. Meski mengalami penurunan dari tahun sebelumnya, banyak tenaga kerja belum terserap karena ketidaksesuaian antara keterampilan dan kebutuhan pasar. UMKM dan industri pengolahan mulai membaik, tetapi upaya pemberdayaan perlu lebih ditingkatkan, terutama bagi masyarakat menengah ke bawah. Belum lagi masih luasnya kawasan kumuh, rumah liar menjelaskan belum layaknya kualitas permukiman penduduk. ","Kompas.com - 21/11/2024, 13:18 WIB",Regional
